やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
つうか	通過	n, vs	passing through (a tunnel, station, town, etc.), passing by (e.g. of a typhoon), transit,passage (of a bill, e.g. through parliament), carriage,passing (an examination, inspection, etc.), clearing	That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
サイン		n	autograph, signature,sign,sine	That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
ひそひそ		adv, adv-to	whisperingly	…whisper…whisper… (When the lights go off, you never know what kind of creeps'll come out.)	ひそひそ……（暗くなるからチカンが多いのよ。ＩＤ検知エリアは……）
さておく	さて置く	v5k, vt	to set aside	…We're almost back now. What a relief.	ま、それはさておき。もうすぐ地上に帰れるってわけ。なんだか、ホッとするね
ひじょう	非常	adj-na, adj-no	emergency,extraordinary, unusual	This train hasn't switched to security mode yet.	まだ列車の非常警備体制には移行してないみたいだな
たいせい	体制	n	order, system, structure, set-up, organization, organisation	This train hasn't switched to security mode yet.	まだ列車の非常警備体制には移行してないみたいだな
いこう	移行	n, vs	switching over to, migration, transition	This train hasn't switched to security mode yet.	まだ列車の非常警備体制には移行してないみたいだな
みたい		suf, adj-na	-like, sort of, similar to, resembling	This train hasn't switched to security mode yet.	まだ列車の非常警備体制には移行してないみたいだな
あした	明日	n-t	tomorrow,near future	I'm sure that will change by tomorrow.	明日はそうはいかないだろうけどな
ねむらせる	眠らせる	v1, vt	to put to sleep,to kill,to leave unused	…YAWN…that sure took its toll on me. I'm gonna sleep till we get to the station.	さすがにつかれたよ。駅に着くまで、眠らせてくれ
いばる	威張る	v5r, vi	to put on airs, to act big, to throw one's weight about, to be overbearing, to be domineering, to be bossy, to be pushy, to be proud, to be haughty, to be arrogant, to swagger, to boast, to brag	…snore…heebeebeeheebee…snore… (Don't act so damn big, BARRET…snooze…)	スースー……ムニャムニャ…。（BARRET、いばってんじゃねえぞ…）
な	名	n	name, given name,title,fame, renown, reputation,pretext, pretense, justification, appearance	Someday AVALANCHE's gonna be famous …and me, too!	アバランチで名をあげていつか俺だって……っす！
みらい	未来	n, adj-no	the future (usually distant),future tense,the world to come	Don't ya think I got a bright future ahead of me?	俺にも明るい未来がまってるっすよね？
まう	舞う	v5u, vi	to dance (orig. a whirling dance),to flutter about, to revolve	Don't ya think I got a bright future ahead of me?	俺にも明るい未来がまってるっすよね？
きたい	期待	n, vs	expectation, anticipation, hope	What do you have in mind?	なにを期待してる？
むり	無理	adj-no	unreasonable, unnatural, unjustifiable,impossible,forcible, forced, compulsory,excessive (work, etc.), immoderate,to work too hard, to try too hard,no way, not a chance, never, dream on,irrational	Don't hold your breath	無理だな
いま	居間	n	living room (Western style)	All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
ずっと		adv	continuously in some state (for a long time, distance), throughout, all along, the whole time, all the way,much (better, etc.), by far, far and away,far away, long ago,direct, straight	All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
じんせい	人生	n	(human) life (i.e. conception to death)	All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
やく	役	n	use, service, role,post, position,scoring combination (e.g. in mahjong, card games, etc.), meld, hand	All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
かんじ	感じ	n	feeling, sense, impression	All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
いきる	生きる	v1, vi	to live, to exist,to make a living, to subsist,to be in effect, to be in use, to function,to come to life, to be enlivened,to be safe (in baseball, go, etc.)	All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
せいめい	生命	n	life, existence	But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.	でも、アバランチにはいって、星の生命を救えばこんな俺でも……いろいろとね
すくう	救う	v5u, vt	to rescue from, to help out of, to save	But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.	でも、アバランチにはいって、星の生命を救えばこんな俺でも……いろいろとね
いろいろ	色々	n	various, all sorts of, variety of,various colors (colours)	But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.	でも、アバランチにはいって、星の生命を救えばこんな俺でも……いろいろとね
やっぱ		adv	too, also, likewise, either,still, as before,even so, either way, nonetheless, in any event, all the same,as expected	Oh man, that's pretty harsh. CLOUD. You really think I won't?	ああ、ひどいなあ、CLOUDさん。やっぱダメっすかね、そうすかね
だめ	駄目	n	no good, not serving its purpose, useless, broken,hopeless, wasted, in vain, purposeless,cannot, must not, not allowed,neutral point (in go), intersection owned by neither player at the end of a game	Oh man, that's pretty harsh. CLOUD. You really think I won't?	ああ、ひどいなあ、CLOUDさん。やっぱダメっすかね、そうすかね
スカ		n	ska (type of Jamaican music)	Oh man, that's pretty harsh. CLOUD. You really think I won't?	ああ、ひどいなあ、CLOUDさん。やっぱダメっすかね、そうすかね
チカチカ		adv, adv-to, vs	flickering, flashing on and off, twinkling, glittering,glaringly (bright), painfully (bright),prickling (pain)	I'm seein' stars. This sucks. I hate the dark.	目がチカチカしたっす。俺、暗いのだめっす。苦手っす
にがて	苦手	adj-na, n	poor (at), weak (in), not very good (at),dislike (of), difficult to deal with	I'm seein' stars. This sucks. I hate the dark.	目がチカチカしたっす。俺、暗いのだめっす。苦手っす
むく	向く	v5k, vi	to turn toward, to look (up, down, etc.),to face (e.g. east), to look out on,to point to,to be suited to, to be fit for,to go in the direction of, to lean towards (of a feeling)	CLOUD! Look over here.	さ、CLOUD！こっちむいて
はじめる	始める	aux-v, v1	to start, to begin, to commence, to initiate, to originate,to open (e.g. a store), to start up, to establish (business. etc.),to start ..., to begin to ...	Okay, it's about to start.	さ、はじめるわよ
ぜんけい	全景	n	panoramic view, bird's-eye view	This is a complete model of the city of Midgar.	これが魔晄都市ミッドガルの全景フレームモデルね
フレーム		n	frame,flame (abusive or threatening message)	This is a complete model of the city of Midgar.	これが魔晄都市ミッドガルの全景フレームモデルね
モデル		n	model, dummy, mock-up,model (profession), fashion model,model (of a car, etc.), make, version,model, example, template, standard,model (in model theory), theory,person a fictional character was modeled on, inspiration	This is a complete model of the city of Midgar.	これが魔晄都市ミッドガルの全景フレームモデルね
スケール		n	scale, vernier	It's about a 1/10000 scale.	スケールはだいたい１／１００００ってとこかな
とこ	床	n	bed, bedding,sickbed,alcove,riverbed,seedbed,straw "core" of a tatami mat,floor	It's about a 1/10000 scale.	スケールはだいたい１／１００００ってとこかな
エム	Ｍ	n	M, m,masochist, masochistic,one thousand (Roman numeral),metre, meter,magnitude,mass,Mach,milli-, m,mega-, M,money	The top plate is about 50 meters above ground.	上のプレートは、地上から約５０Ｍ離れているの
はなれる	離れる	v1, vi	to be separated, to be apart, to be distant,to leave, to go away,to leave (a job, etc.), to quit, to give up,to lose connection with, to drift away from	The top plate is about 50 meters above ground.	上のプレートは、地上から約５０Ｍ離れているの
ささえる	支える	v1, vt	to support, to prop, to sustain, to underlay, to hold up, to defend,to hold at bay, to stem, to check	A main pillar supports the plate in the center, and there are other support pillars built in each section…	プレートを支えてるのは中心の大きな支柱と各区画に建てられた柱……。柱は、機械塔とも呼ばれてるわ
ちゅうしん	中心	suf	center, centre, middle, heart, core, focus, pivot, emphasis, balance,-centered, -centred, -focussed, -oriented, centered on, focussed on	A main pillar supports the plate in the center, and there are other support pillars built in each section…	プレートを支えてるのは中心の大きな支柱と各区画に建てられた柱……。柱は、機械塔とも呼ばれてるわ
