Who goes there!?	なんだ、おまえたちは！
Ah…Johnny's gone. You look a little disappointed.	はぁ……　ジョニーのやつ、行っちまった。なんだか急にはりあいなくなっちゃったよ
I don't like to say it myself but, I'm just a lonely guy when I'm not drinking.	俺って自分で言うのもなんだけど酒飲んでないと、さびしがりやさんなわけよ
Yesterday, everyone in town was peeking at the two of you from outside the bar.	きのう、お店の外からあなたたちのこと街のみんなでのぞき見してたのよ
TIFA's childhood friend. That's a good one!	TIFAちゃんの幼なじみだなんてにくいにくい！
Listen! If there isn't anyone to listen, what's the use of getting gossip on everyone!?	もう！！！話を聞いてくれる人がいないと情報を集めてもしかたないのよね！
Yeah, and you Mr. I-don't-care!	そうだ、あなた！興味ない男さん！
I'll get a little more information that would pique even your interest. You wait and see!	今度はきっと、あなたでも興味のわくすご～い情報を集めておくから楽しみにしておいて
H, hey!! Keep your mitts off of Marlene!!	おっおい！マリンちゃんには手を出すなよ！！
Ahh! Now I ain't got no one to pick on!	あ～あ！いじめる相手がいなくなっちゃうよ！
When it comes down to it…I'm gutless. I'm still just a no-good kid.	ああ～、いざとなると勇気がでない。だめだな、ボクって。まだ子供だな～
We're closed today. Come back tomorrow.	本日は閉店いたしました。またのご来店をおまちしております
Don't be taken in by the Shinra. Mako energy will not last forever. Mako is the life of the Planet and that life is finite. The end is coming. Saviors of the Planet:  AVALANCHE	神羅にだまされるな！魔晄エネルギーは永遠ではない！魔晄は星の命！いつか終わりがやってくる！星の救世主：アバランチ
What crappy handwriting. And look at all this graffiti!	きたない字だな。おまけに、いたずら書きだらけだ
7th Heaven	セブンスヘブン
Papa!!	とうちゃん！！
Marlene! Aren't you going to say anything to CLOUD?	ほら、マリン！CLOUDにおかえりなさいは？
Welcome home, CLOUD. Looks like everything went well.	おかえりなさい、CLOUD。作戦はうまくいったみたいね
Did you fight with BARRET?	BARRETとはケンカしなかった？
Yeah	やっちゃった
Not this time	ガマンした
I should have known.	やっぱり？
He's always pushing people around, and you've always been in fights ever since you were little.	BARRETはあんな人だしCLOUDは子供のころからケンカばかりしてたしね
I was worried.	……ちょっと、心配だったんだ
Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.	ふ～ん。CLOUDもおとなになったのね。子供のころは、すぐケンカだったのに
Enter name	『TIFA名前入力』
Flowers? How nice…	あら？お花なんてめずらしいわね
You almost never see them here in the slums.	スラムじゃ、めったにさかないのよ
But…	でも……
A flower for me? Oh CLOUD, you shouldn't have…	プレゼントに、お花なんてCLOUD、そうなんだ～
…	そんなんじゃないさ
Give it to TIFA	TIFA、あげる
Give it to Marlene	マリン、あげる
Thank you, CLOUD. It smells wonderful.	ありがとう、CLOUD。ん～、いいかおり！
Maybe I should fill the store with flowers.	お店を花でいっぱいにしちゃおうかな
Thudthudthud!!	『ドカドカドカ！！　というＳＥがはいるよてい』
Marlene	マリン
Papa, welcome home!	とうちゃん、おかえり！
You all right, BARRET?	BARRET、ごくろうさま
Great!!	おう！！
Get in here, fools!! We're startin' the meetin'!!	おめえら！！会議をはじめっぞ！！
Everyone is down below.	みんなは下にいるわよ
Yeah.	おう、ただいま
Huh? Where'd you get that flower?	ん？どうしたんだ、その花は？-
CLOUD gave it to me.	……CLOUDにもらったの
Oh…	そうか……
Did you thank him?	マリン、ありがとうは言ったのか？
Thank you, CLOUD.	お花、ありがとうね、CLOUD
We'll take care of you.	ちゃんとお世話するからね
CLOUD… come over here.	CLOUD……こっちにきて
Sit down.	どうぞ、すわって
How about… …something to drink?	ねえ……何かのむ？
I don't feel like it	いまはそんな気分じゃないな
Give me something hard	キツイの、くれないか
OHH!!	も～う！！
I can make a drink just as good as anyone else.	私だってちゃんとお酒ぐらいつくれるようになったのよ
Everyone says my drinks taste the best!	お客さんだって、TIFAちゃんのつくるお酒はおいしいよっていってくれるんだから！
Just a minute. I'll make one for you.	まってて。いまつくるから
You know, I'm relieved you made it back safely.	なんだか、ほっとしちゃった。CLOUDが無事もどってきて
What's with you all of a sudden? That job wasn't even tough.	急にどうした？あのていどの仕事、なんでもないさ
I guess not…	そうね……
You were in SOLDIER.	CLOUD、ソルジャーになったんだもんね--
Make sure you get your pay from BARRET.	……今回の報酬なんだけどBARRETからもらってね
Don't worry. Once I get that money, I'm outta here.	そうするよ。報酬をもらえば、また、お別れだな
CLOUD. Are you feeling all right?	ねえ、CLOUD。気分はどう？
…Yeah… Why?	……ふつうさ。どうしてそんなことを聞く？
No reason. You just look a little tired I guess.	ううん、なんでもない。ただ、つかれてないのかなって…-
You'd better go down below.	みんなのところに行ってあげて
AVALANCHE Hideout	アバランチアジト
Yo, CLOUD! There's somethin' I wanna ask ya.	おい、CLOUDさんよ。聞きたいことがあるんだ
Was there anyone from SOLDIER fighting us today?	きょう、オレたちが戦った相手にソルジャーはいたのか？
None. I'm positive.	いや、いなかった。それは確実だ
You sound pretty sure.	ずいぶんと自信たっぷりじゃねえか
If there was anyone from SOLDIER you wouldn't be standing here now.	もしソルジャーと戦っていたらあんたたちが生きてるはずないからな
Don't go thinkin' you so bad jus' cuz you was in SOLDIER.	自分が元ソルジャーだからってえらそうに言うんじゃねえよ！
…	…………-
Yeah, you're strong.	確かにおまえは強い
Probably all them guys in SOLDIER are.	おそらくソルジャーってのはみんな強いんだろうさ
But don't forget that your skinny ass's workin' for AVALANCHE now! Don't get no ideas bout hangin' on to Shinra.	でもな、おまえは反乱組織アバランチにやとわれてる身だ。神羅のかたを持つんじゃねえ！
Stayin' with Shinra? You asked me a question and I answered it…that's all.	神羅のかたをもつ？俺はあんたの質問に答えただけだ
I'm going upstairs. I want to talk about my money.	俺は上で待っている。報酬の話がしたい
Wait, CLOUD!	待って、CLOUD！
TIFA! Let him go!	TIFA！そんなヤツ放っておけ！
Looks like he still misses the Shinra!	どうやら神羅に未練タラタラらしいからな！
Shut up!	だまれ！
I don't care about neither Shinra nor SOLDIER!	俺は神羅にもソルジャーにも未練はない！
But don't get me wrong!	でも、かんちがいするな！
I don't care about AVALANCHE or the Planet for that matter!	星の命にもおまえたちアバランチの活動にも興味はない！
You think I'm a little too uptight?	もしかして、俺、カタマってます？
No…	いや……
The next mission will be to blow up the Sector 5 Reactor.	次の作戦は、五番魔晄炉爆破！！俺、緊張しちまって、ガチガチなんすよ
CLOUD, you're great! Don't you ever get nervous?	CLOUDさんは、さっすがすね～。ぜんぜん緊張とかしないでしょ？
Or are you like, impervious to feelings? Naw, that couldn't be it.	もしかして何も感じないとか？エヘヘ…そんなわけないっすよね
Well, that's OK. Don't worry about me. I don't look like it, but I'm a coward at heart.	いや～、いいっすよ。気を使ってくれなくても。俺、体に似合わず、小心者っすから
